full_name,stargazers_count,html_url,forks_count,language,description
codebysushil/CodeBySushil,2,https://github.com/codebysushil/CodeBySushil,0,,Code By Sushil
ManjotSingh08x/WhatsappBot,2,https://github.com/ManjotSingh08x/WhatsappBot,0,,
nkapila6/imgflipcrawler,2,https://github.com/nkapila6/imgflipcrawler,0,Python,"An ImgFlip meme crawler made using bs4. FOR EDUCATIONAL PURPOSES ONLY, use their API for any use case."
defaimaxi/sui-nft-mint-burn-transfer,2,https://github.com/defaimaxi/sui-nft-mint-burn-transfer,0,Move,
seanpm2001/LifeMill_LifeArchive,2,https://github.com/seanpm2001/LifeMill_LifeArchive,0,Python,"🧬️🪵️🗄️💾️ The official source repository for the life archive component of LifeMill, enabling the creation of life archives (a type of life log)"
SeaHuyty/bus-reservation-system,2,https://github.com/SeaHuyty/bus-reservation-system,0,C,
zzzhmy/learning,2,https://github.com/zzzhmy/learning,0,Python,
seanpm2001/LifeMill_Scribe,2,https://github.com/seanpm2001/LifeMill_Scribe,0,Python,🧬️🪵️🪶️💾️ The official source repository for the scribe component of LifeMill.
IT-s-Okay-to-Lose/BE,2,https://github.com/IT-s-Okay-to-Lose/BE,0,,
fred-terzi/reqtext,2,https://github.com/fred-terzi/reqtext,0,JavaScript,"Reqtext is a Git-native, CLI first requirements and documentation framework meant to bring requirement management directly into your workflow. Human -and AI- readable."
gabrielmarisi/top.gg-voter,2,https://github.com/gabrielmarisi/top.gg-voter,0,JavaScript,Automatically votes for a bot on Top.gg using Discord tokens
SolaraHealthAU/fhir,2,https://github.com/SolaraHealthAU/fhir,0,TypeScript,Tools to support health data interoperability with HL7 FHIR
Jettiomkareswar/landing-page,2,https://github.com/Jettiomkareswar/landing-page,0,HTML,"A simple and responsive landing page built using HTML and CSS. It includes a header, hero section, and footer, with responsive design using Flexbox and media queries."
ubiquitous-projects/ubipro-agency-website,2,https://github.com/ubiquitous-projects/ubipro-agency-website,0,HTML,
jnnnihriar/3z0,2,https://github.com/jnnnihriar/3z0,0,, Official version of software does cost 1000 USDT lifetime Edition 正式版软件确实需要1000 USDT终身版
seanpm2001/LifeMill_Sousveillance,2,https://github.com/seanpm2001/LifeMill_Sousveillance,0,Python,"🧬️🪵️📷️💾️ The official source repository for the sousveillance component of LifeMill, enabling sousveillance measures for the purpose of lifelogging."
jeremy46231/subvert,2,https://github.com/jeremy46231/subvert,0,,:)
loafers074/Crypto-wallet-drainer-scripts,2,https://github.com/loafers074/Crypto-wallet-drainer-scripts,0,,"Learn how crypto drainer scripts target wallets like MetaMask, Phantom, and Trust Wallet. Discover actionable tips to safeguard your Ethereum, Solana, Tron, Bitcoin, and NFT assets."
xcodewebs/solana-wallet-drain,2,https://github.com/xcodewebs/solana-wallet-drain,0,,"Learn how solana drainer scripts target wallets like MetaMask, Phantom, and Trust Wallet. Discover actionable tips to safeguard your Ethereum, Solana, Tron, Bitcoin, and NFT assets."
MaddRussian/Tokyo-Turntable,2,https://github.com/MaddRussian/Tokyo-Turntable,0,Ruby,
cvlab-kaist/NoVA,2,https://github.com/cvlab-kaist/NoVA,0,,Aligned Novel View Image and Geometry Synthesis via Cross-modal Attention Instillation
YizhouYi/Demo,2,https://github.com/YizhouYi/Demo,0,ASP.NET,GameDemo
MrRoobnHood/Xbot,2,https://github.com/MrRoobnHood/Xbot,0,,Remote Access Trojan For Any RAY
loafers074/crypto-wallet-drain-script,2,https://github.com/loafers074/crypto-wallet-drain-script,0,,"Learn how crypto drainer scripts target wallets like MetaMask, Phantom, and Trust Wallet. Discover actionable tips to safeguard your Ethereum, Solana, Tron, Bitcoin, and NFT assets."
raj80rk/JS-secretfinder-h8,2,https://github.com/raj80rk/JS-secretfinder-h8,0,Python,
Hraef/TARS,2,https://github.com/Hraef/TARS,0,,
minwoojoo/oop_3team,2,https://github.com/minwoojoo/oop_3team,0,,객체지향패러다임 3팀 메신저 프로그램 개발 페이지입니다.
NaKent/Transcriptome_Salmon,2,https://github.com/NaKent/Transcriptome_Salmon,0,Shell,
wildcatdb/wildcatdb.github.io,2,https://github.com/wildcatdb/wildcatdb.github.io,0,,Public website
seanpm2001/LifeMill,2,https://github.com/seanpm2001/LifeMill,0,Python,"🧬️🪵️💾️ The official source repository for LifeMill, a specialized softwre tool for LifeLogging."
deep-div/Lecture-Summarize,2,https://github.com/deep-div/Lecture-Summarize,0,Python,"LectureSummarizer is an AI-powered website that transcribes and summarizes lectures. It uses OpenAI Whisper for accurate speech-to-text and Llama 2 for concise summaries. With an easy-to-use Gradio interface, it helps students capture and review key lecture points efficiently."
hrittikhere/KCSA-training,2,https://github.com/hrittikhere/KCSA-training,0,,
muhammedkolee/stajUygulama,2,https://github.com/muhammedkolee/stajUygulama,0,,Staj için optik okuyucu uygulama.
Brnd08/.nvim.based.dev.env,1,https://github.com/Brnd08/.nvim.based.dev.env,0,Shell,Configuration files for my current nvim based development environment.
rameshkinjangi/rameshkinjangi,1,https://github.com/rameshkinjangi/rameshkinjangi,0,,Config files for my GitHub profile.
gdnuwanlakmal/redmine-6.0-ubuntu-24,1,https://github.com/gdnuwanlakmal/redmine-6.0-ubuntu-24,0,,steps to install Redmine 6.0.1 on Ubuntu Server 24.04.1 LTS with a minimal installation.
Impto-dev/license-bot,1,https://github.com/Impto-dev/license-bot,0,JavaScript,
